logic_id,logic_name,family,priority,engine_fit_formal,impl_mode_now,impl_note
L055,gross_margin_level,quality,P0,runnable_now,native,
L056,margin_stability_12q,quality,P1,requires_signal_impl,native,
L057,earnings_stability_12q,quality,P1,requires_signal_impl,native,
L058,deleveraging_quality,quality,P0,runnable_now,native,
L059,interest_coverage,quality,P1,requires_signal_impl,native,
L060,qmj_proxy_composite,quality,P0,requires_signal_impl,native,
L061,revenue_growth_quality_adj,growth,P0,requires_signal_impl,native,
L062,eps_growth_quality_adj,growth,P0,requires_signal_impl,alias_proxy,light wrapper
L063,fcf_growth_persistence,growth,P1,requires_signal_impl,native,
L064,asset_growth_anomaly_inv,growth,P0,requires_signal_impl,alias_proxy,light wrapper
L065,capex_discipline,growth,P1,requires_signal_impl,alias_proxy,light wrapper
L066,nwc_change_inverse,growth,P1,requires_signal_impl,alias_proxy,light wrapper
L067,profitability_trend_4q,growth,P0,requires_signal_impl,native,
L068,margin_trend_4q,growth,P0,requires_signal_impl,native,
L069,cash_conversion_improve,growth,P1,requires_signal_impl,native,
L070,investment_conservatism,growth,P1,requires_signal_impl,alias_proxy,light wrapper
L071,sue_eps,event,P0,runnable_now,alias_proxy,light wrapper
L072,sue_revenue,event,P0,requires_signal_impl,alias_proxy,light wrapper
L073,pead_1_20,event,P0,runnable_now,alias_proxy,light wrapper
L074,pead_21_60,event,P1,requires_signal_impl,proxy,fallback proxy due to current field scope
L075,earnings_gap_strength,event,P0,requires_signal_impl,native,
L076,surprise_persistence,event,P1,requires_signal_impl,native,
L077,beat_with_revenue_confirm,event,P0,requires_signal_impl,native,
L078,post_event_liquidity_gap,event,P1,requires_signal_impl,native,
L079,event_underreaction_low_own,event,P0,requires_signal_impl,native,
L080,event_underreaction_value_anchor,event,P0,requires_signal_impl,native,
L081,institutional_ownership_delta,ownership,P0,runnable_now,alias_proxy,light wrapper
L082,institutional_breadth_delta,ownership,P0,requires_signal_impl,alias_proxy,light wrapper
L083,ownership_acceleration,ownership,P1,requires_signal_impl,native,
L084,owner_earnings_yield,ownership,P0,runnable_now,alias_proxy,light wrapper
L085,owner_earnings_trend,ownership,P1,requires_signal_impl,native,
L086,crowded_value_trap_avoid,ownership,P0,requires_signal_impl,native,
L087,de_crowding_momentum,ownership,P1,requires_signal_impl,native,
L088,ownership_x_quality,ownership,P0,requires_signal_impl,native,
L089,ownership_x_value,ownership,P0,requires_signal_impl,native,
L090,ownership_dispersion_proxy,ownership,P2,requires_signal_impl,native,
L091,trend_regime_switch,regime,P0,requires_signal_impl,native,
L092,vol_regime_switch,regime,P1,requires_signal_impl,native,
L093,liquidity_regime_switch,regime,P1,requires_signal_impl,native,
L094,risk_on_off_breadth,regime,P1,requires_signal_impl,proxy,fallback proxy due to current field scope
L095,cross_section_dispersion_regime,regime,P1,requires_signal_impl,alias_proxy,light wrapper
L096,correlation_regime_proxy,regime,P1,requires_signal_impl,native,
L097,defensive_rotation_proxy,regime,P1,requires_signal_impl,native,
L098,smallcap_seasonality_proxy,regime,P2,requires_signal_impl,native,
L099,earnings_season_alpha,regime,P1,requires_signal_impl,native,
L100,state_weighted_meta_signal,regime,P2,requires_signal_impl,native,
